"date","eugene","springfield"
2017-10-14,0.17,0.34
2017-10-15,0,0.02
2017-10-17,0.01,0
2017-10-21,0.28,0.44
2017-10-29,0.01,0.02
2017-10-31,0.01,0
2017-11-04,0.17,0.14
2017-11-05,0.14,0.27
2017-11-06,0.24,0.54
2017-11-07,0.02,0
2017-11-08,0,0
2017-11-10,0.38,0.26
2017-11-11,0.36,0.48
2017-11-12,0.01,0
2017-11-13,0.17,0.29
2017-11-14,0.24,0.23
2017-11-19,0.02,0
2017-11-20,0.06,0.05
2017-11-21,0.29,0.21
2017-11-22,0.11,0.06
2017-11-23,0.41,0.45
2017-11-24,0.25,0.47
2017-12-30,0.25,0.32
2017-12-31,0.01,0
2018-01-02,0.01,0
2018-01-07,0.02,0
2018-02-11,0.02,0
2018-02-14,0.18,0.15
2018-02-17,0.06,0.04
2018-02-18,0.11,0.19
2018-05-01,0.02,0.01
2018-05-02,0,0
2018-05-03,0,0
2018-05-08,0,0
